"_created_at",_id,_updated_at,descripcion,fecha,lugar,nombre
2015-06-24T17:28:46.918Z,BxRaYcYwgt,2015-11-04T17:16:50.725Z,Festejo de la revolución Mexicana,2015-11-20T17:28:00.000Z,Colegio del Ángel,Rev Mexicana
2015-11-06T18:34:11.024Z,ESpJIEV71b,2015-11-06T18:34:11.024Z,"Se aplicará vacuna de influenza ",2015-11-06T18:32:29.000Z,Colegio,"Vacunación "
2015-11-19T14:28:31.025Z,EaSD8il4Oi,2015-11-19T14:28:31.025Z,Firma de boletas,2015-11-25T23:00:23.000Z,"Colegio del Ángel ",Junta de padres de familia para Kínder 2
2016-04-14T18:09:51.486Z,RYspKUA11s,2016-04-14T18:09:51.486Z,"Prueba de creación de evento, con notificación a papás.\nAtte Dirección Adjunta",2016-05-25T15:00:00.000Z,Colegio del Ángel,Evento Prueba
2016-06-17T18:53:04.357Z,WZwEtgE2g4,2016-06-17T18:53:04.357Z,Evento prueba,2016-06-17T17:52:07.000Z,"Colegio del Ángel ",Evento prueba
2015-11-19T14:29:45.952Z,ZbGbvRDcDW,2015-11-19T14:29:45.952Z,Firma de boletas,2015-11-26T23:00:45.000Z,"Colegio del Ángel ",Junta de padres de familia de Kínder 3
2015-12-14T00:27:21.887Z,cz6pbGNZix,2015-12-14T00:27:21.887Z,,,,Junta de padres de familia de Kínder 7
2016-02-29T19:24:05.175Z,fOvrdDG3KP,2016-02-29T19:24:05.175Z,"Tendremos 2 presentaciones. En este horario invitamos a las familias de:\nKínder 1 B\nKínder  2 B\nKínder 3 B\nSi por alguna razón su pequeño(a)no puede asistir, los invito a comunicarse con nosotros lo más pronto posible.\nAtentamente\nCoordinación Preescolar ",2016-03-12T18:00:09.000Z,Instalaciones del colegio,Festival de primavera
2015-12-03T17:45:26.379Z,gHZfWqdFnw,2015-12-03T17:45:26.379Z,"Buenos días papitos:\nEl festival de Villancicos para kínder 1 A, kínder 1 B y  kínder 2 B será el jueves 10 de diciembre a las 10:00 horas. Los niños deben venir vestidos y peinados de la siguiente manera:\nPolo blanco (cuello alto), nenas y tenis blancos (muy limpios)\nEl viernes 11 será para kínder 2 A, kínder 3 A y Kínder 3 B. Por lo que les pedimos de favor,que ese día también vengan vestidos y peinados como el jueves.\nEl cupo es limitado a 3 personas máximo  por alumno. Favor de apoyarnos en este punto. El acceso al evento será por el estacionamiento. La puerta se abrirá a las 9:50 horas.\nLos alumnos asisten en horario normal. Si alguien gusta llevarse a su pequeño(a) al término del evento, favor de avisarnos y los entregamos en filtro.\nAgradecemos de antemano su apoyo y comprensión.\nDirección Preescolar",2015-12-10T16:00:10.000Z,"Colegio del Ángel ","Festival de Villancicos "
2016-08-05T20:46:34.044Z,hbPqLfc1pd,2016-08-05T20:46:34.044Z,"Buenas tardes papitos!\nEsperamos que estén disfrutando de sus vacaciones.\nLes queremos recordar que las juntas de inicio de ciclo escolar se llevarán a cabo de la siguiente forma:\nKínder 1 Martes 9 de agosto a las 17:00 horas.\nKínder 2 Miércoles 10 de agosto a las 17:00 horas.\nKínder 3 Jueves 11 de agosto  a las 17:00 horas.\nEs muy importante para nosotros contar con su presencia, ya que haremos la presentación del personal docente , plan de trabajo y lineamientos generales con los que sus pequeños trabajarán el siguiente ciclo. \nAsí mismo, tendremos a su disposición el calendario para agendar el día y la hora de la entrevista personal que se tendrá con la miss titular de español.\nCualquier duda estoy a sus órdenes por este medio o por vía telefónica.\nMuchas gracias por su atención.\nLCC Ana Laura Monroy\nCoordinación Preescolar\n",2016-08-09T22:00:42.000Z,"Colegio del Ángel ",Juntas de inicio de ciclo escolar
2015-11-06T18:35:46.951Z,kauLMrz5KP,2015-11-06T18:35:46.951Z,"Suspensión por día feriado ",2015-11-16T13:30:49.000Z,Colegio,Suspensión oficial de actividades
2016-10-25T23:08:58.317Z,x72Ydxjzaa,2016-10-25T23:08:58.317Z,"Buenas tardes papitos:\nEl próximo martes 1 de noviembre celebraremos el Día de Muertos. Todos los pequeños podrán venir disfrazados de lo que gusten. Pedimos de favor poner nombre a cualquier accesorio que lleve el disfraz (escobas, sombreros,máscaras,espadas,trinches,diademas,etc.)\nEl horario es normal, por lo que habrá talleres vespertinos. No olviden mandar la ropa para cambiar a sus pequeños.\nMuchas gracias por su apoyo.\nCoordinación Preescolar.",2016-11-02T00:00:46.000Z,"Colegio del Ángel ",Celebración del Día de Muertos
2017-09-14T16:29:25.875Z,xv7UqQ63SZ,2017-09-14T16:29:25.875Z,"Buenas tardes papitos de Preescolar:\nEl Colegio del Ángel les hace una cordial invitación a la conferencia:\nDISCIPLINA A TIEMPO\ncon el objetivo de que los padres de familia reconozcan a tiempo las consecuencias positivas y negativas y apliquen los principios disciplinarios, que determinarán las normas de comportamiento y convivencia de sus hijos, en su casa, escuela y entorno social.\nFecha: martes 19 de septiembre.\nHora: 5:00 p.m.\nNOTA: En caso de no contar con ayuda para dejar a sus pequeños en casa, el Colegio ofrecerá personal para su cuidado durante la conferencia (se proyectará una película).\nAgradecemos de antemano la atención prestada a este anuncio y esperamos contar con su puntual asistencia.\nA t e n t m e n t e\nCoordinación Preescolar ",2017-09-19T16:27:15.000Z,Salón de usos múltiples de Preescolar,Conferencia: Disciplina a tiempo
2017-09-06T17:36:22.538Z,maBqDEG79w,2017-09-06T17:36:22.538Z,"¡Buenas tardes!\nEl viernes 15 de septiembre celebraremos el Día de la Independencia de México con una mañanita mexicana.\nTodos los alumnos pueden venir vestidos con atuendo típico mexicano, ropa casual con los colores de nuestra bandera y/o accesorios diversos.\nEn el lunch se les ofrecerá: \nTaquitos de pollo\nGelatina tricolor\nAgua de jamaica,tamarindo y natural.\nEse día toda la escuela termina labores a las 13:30 horas.\nPor lo mismo, el carrusel de salida se hará por la calle de atrás (MOCTEZUMA), de la misma forma que lo hacemos todos los días, con la finalidad de que los alumnos de maternal salgan por la puerta principal.\nConsideren por favor que TODO PREESCOLAR será entregado a la misma hora. Seguramente el tiempo de entrega tarde un poco más que siempre. \n    Muchas gracias por su apoyo y comprensión.\n        Quedamos a sus órdenes para cualquier duda que surja.\n       Coordinación Preescolar \n",2017-09-15T13:45:09.000Z,Colegio del Ángel,Mañanita mexicana
