"_created_at",_id,_p_student,_p_user,_updated_at,aws,concepto,fechaAdelanto,manual,photo
2016-10-18T15:00:45.772Z,1YURWWWi7D,Estudiantes$dOnWt5jF1o,_User$vodlzzvgcy,2017-01-08T04:07:01.670Z,,,,,966c4fc3688de506f184b33bd954a1a8_mfp_c21a72cd563f30c78c7253d84d443924pagoFoto.jpg
2016-08-23T19:03:32.842Z,BgQuJhSKTG,Estudiantes$38z0xMceId,_User$Ep4GvTYzrT,2017-01-08T04:07:45.189Z,,,,,d639236084d6a87e4606cd8e9f530d35_mfp_a10526a4ee5a3bff2cd7d3a3c2c25d7dpagoFoto.jpg
2016-04-14T02:39:14.300Z,CchLtOXOFB,Estudiantes$1j4GfuUWIm,_User$Wo4Jqcphuw,2017-01-08T04:08:25.213Z,,,,,4106f773fd2c7430c7f41fc56c8558f1_mfp_aa040d16f1cd8df0f9a52961e727c038pagoFoto.jpg
2016-04-14T18:15:22.642Z,Q7gWfgpocR,Estudiantes$CGUBPJyIqy,_User$gpWo4EnuQj,2016-04-14T18:15:22.642Z,,,,true,
2016-04-14T02:38:30.352Z,ZjDhWVu3pH,Estudiantes$1j4GfuUWIm,_User$Wo4Jqcphuw,2017-01-08T04:08:40.446Z,,,,,b885b87f43ec9be3d453d91cf1a218c6_mfp_20b39056e1aaad8d6dd76d2064735ed8pagoFoto.jpg
2016-03-17T05:34:49.829Z,cUTXQ89qbE,Estudiantes$1j4GfuUWIm,_User$Wo4Jqcphuw,2017-01-08T04:09:10.914Z,,,,,4543260bb81ad2f09432b7cccb85c1af_mfp_6d3eb5b6d248f321116228545c85ac3bpagoFoto.jpg
2016-02-05T22:01:49.893Z,evzklx3pMw,Estudiantes$p6hzoxumov,_User$VQPcZgN61X,2017-01-08T04:09:54.623Z,,,,,7fe856758c66d77351fbad644c73b1bb_mfp_cc8e99c5aee988dda6ab47271c6d2b50pagoFoto.jpg
2016-09-14T13:31:10.121Z,jXBpLjLny3,Estudiantes$38z0xMceId,_User$Ep4GvTYzrT,2017-01-08T04:07:29.579Z,,,,,e07fbdaf611c4c81a0c8fd55f9d649ec_mfp_9b98f31e042e6f2ab4236add1394f507pagoFoto.jpg
2016-11-01T14:27:20.999Z,nANGIcfpj8,Estudiantes$nh9u1eVeAQ,_User$QfIPrrrgwK,2017-01-08T04:06:45.397Z,,,,,2c1208543dd80fc1cae73be9f925ddf0_mfp_7ae05f832b6b17103d4d9d8e1562e887pagoFoto.jpg
2016-03-17T05:37:49.103Z,oqBWq78G9F,Estudiantes$1j4GfuUWIm,_User$Wo4Jqcphuw,2017-01-08T04:08:57.457Z,,,,,70b52aa3638a4bf128503d076a3f27b5_mfp_92d55b8aedb496de88af931d0f30fd62pagoFoto.jpg
2016-03-17T05:20:53.255Z,unrYlRFs7L,Estudiantes$1j4GfuUWIm,_User$Wo4Jqcphuw,2017-01-08T04:09:40.152Z,,,,,e783872bbce811b6ada3555f7721de86_mfp_c22378ac2937d8e39b202dc92eac1b7dpagoFoto.jpg
2016-10-03T14:33:47.440Z,uqbpBe4ORL,Estudiantes$j4EQNwZnGo,_User$GT3FA7eMNh,2017-01-08T04:07:13.578Z,,,,,bb6b170a60fd8b1cdb2136aa9f2f33b7_mfp_6d4eac077637687636a3e73b2e1b2507pagoFoto.jpg
2016-08-05T16:02:05.022Z,w0F87C2NVv,Estudiantes$E9CkqllAYJ,_User$efvTuMGGQo,2017-01-08T04:08:00.556Z,,,,,c50ccdca4b2f4689280f69edc15063a7_mfp_66bfac5e26046fa044206d09a4e0a7a1pagoFoto.jpg
2017-03-16T23:40:40.636Z,n39JpZsKRa,Estudiantes$g0bEXnk97K,_User$SnQkkuL1NC,2017-03-16T23:40:40.636Z,,pago alimentos 16/03/2017,,,e6c10f6c51946a1e1a4fa2ad9668de0e_photo.jpg
2017-03-17T04:05:23.569Z,ZswmVT2ZV6,Estudiantes$g0bEXnk97K,_User$SnQkkuL1NC,2017-03-17T04:05:23.569Z,,Pago alimentos 10/03/2017,,,0f411749abfdebc98259e6d4eeeb74e2_photo.jpg
2017-09-01T15:39:31.953Z,afuL4QjGaK,Estudiantes$qQkCMBg5Ey,_User$7FzlHinC97,2017-09-01T15:39:32.555Z,,,,,b2ed676d3a1533d13de40b509be979bc_pagoFoto.jpg
2017-09-01T17:34:09.891Z,zB1QHogLkk,Estudiantes$V1u8fT5kGg,_User$LuqEQ28eX3,2017-09-01T17:34:09.891Z,,,,,5961919af5a8e4909ca8e179e7692c96_pagoFoto.jpg
2017-09-05T18:20:03.144Z,jramhI9XSR,Estudiantes$IPOzZOaaiW,_User$tJE8rHfy8C,2017-09-05T18:20:03.144Z,,"Pago Colegiatura, paquete VI",,,053631369158f9265f9fd76c058bca4c_photo.jpg
2017-09-06T16:15:50.487Z,zEHBsT0kxO,Estudiantes$Oq9l28ixEx,_User$GH8BiaCPXg,2017-09-06T16:15:50.487Z,,,,,15ca06e76ba4ece9b5a2ebd5c0b257e2_pagoFoto.jpg
2017-10-03T17:30:11.862Z,IRCosyFRyv,Estudiantes$TWv88Ow7Is,_User$lVP9hv1fO7,2017-10-03T17:30:11.862Z,,,,,962c16f91d23a6d3ee1a5c48f78aaee9_pagoFoto.jpg
2017-10-05T22:34:03.981Z,dtYxLfBrDr,Estudiantes$CvcLOjsCZz,_User$RExPlFXVOl,2017-10-05T22:34:05.307Z,true,Pago Octubre,2018-04-05T22:35:06.226Z,,
2017-10-06T00:15:25.019Z,JRXLivubOI,Estudiantes$QwxzGpefjT,_User$HOEAJReRGI,2017-10-06T00:15:25.019Z,,,,,261e2f97c30b60ec25bf032081666f80_pagoFoto.jpg
2017-10-07T01:39:11.528Z,qOGgCUQXfc,Estudiantes$OEZDm2Cj6X,_User$t7tyuBzkpc,2017-10-07T01:39:11.528Z,,,,,f931fde77386252d1ece0aa0d1b42996_pagoFoto.jpg
